title,url
About Innovation Economics,http://innovation-economics.de/2012/07/about-innovation-economics/
Studentische Hilfskraft am BAM,http://innovation-economics.de/2019/07/studentische-hilfskraft-am-bam/
Projektkoordinator beim DIN in Berlin gesucht,http://innovation-economics.de/2019/07/projektkoordinator-beim-din-in-berlin-gesucht/
3sat: Schöne genormte Welt,https://www.3sat.de/wissen/wissenschaftsdoku/schoene-genormte-welt-100.html
Bewerbung/Application: Wiss. Mitarbeiter/Research Assistant FG Innovationsökonomie/Innovation Economics,http://innovation-economics.de/2019/06/bewerbungapplication-wiss-mitarbeiterresearch-assistant-fg-innovationsokonomieinnovation-economics/
Einfluss auf Normen höher als auf Gesetze,https://www.din.de/de/din-und-seine-partner/presse/mitteilungen/einfluss-auf-normen-hoeher-als-auf-gesetze-332102
Open Source Monitor 2019 | Studie zu Status Quo und Perspektiven in Deutschland,https://www.bitkom.org/opensourcemonitor2019
HiWi Stelle an FG Innovationsökonomie ab sofort,http://virtual-prsb.service.tu-berlin.de/AD/advertisement_details.php?id=7175http://
Research Assist­ant – salary grade E13 TV-L Ber­liner Hoch­schu­len – 0.75 work­ing time – 1st qual­i­fic­a­tion period (PhD can­did­ate),"https://tub.stellenticket.de/de/offers/62522/?ids=%5b63250,63228,62787,62765,62762,61384,62818,62888,62889,62710,62711,62719,62721,62799,62800,62797,62798,62814,62815,62700,62702,62624,62625,62464,62466,62177,63006,63007,63004,63005,62359,62909,62908,62240,62241,62455,62458,62519,62520,62521,62522,62437,62442,62478,62479,62471,62472,62476,62477,62541,62545,62524,62503,62364,62357,62242,62244,62233,62005,62385,62382,61581,62631,60665,62605,62293,61955,62496,62341,62336,62356,62238,62008,62009,62307,62313,62006,62007,62366,62497,62372,62500,62368,62499,62421,62418,61793,61794,62360,61821,61833,61835,61941,61942,62290,62015,62118,61448,62152,62151,62149,59809,61973,61426,61970,61429,61579,61471,61472,61469,61582,61584,60912,60920,61334,60975,60873,60876%5d#pk_campaign%3DTubInternOffershttp://"
The Impact of International Management Standards on Academic Research,http://innovation-economics.de/2018/12/the-impact-of-international-management-standards-on-academic-research/
What motivates the engineers to patent? A study at the Chinese R&D laboratories of a European MNC,https://link.springer.com/article/10.1007/s10961-018-9707-z?wt_mc=Internal.Event.1.SEM.ArticleAuthorOnlineFirst&utm_source=ArticleAuthorOnlineFirst&utm_medium=email&utm_content=AA_en_06082018&ArticleAuthorOnlineFirst_20181113http://#new_tab
